distance_km,warehouse_load,order_hour,items_count,weather_risk,carrier_delay_rate,target
5.72,2,5,3,5,60.59,0
27.67,3,3,1,2,29.78,0
27.18,4,0,4,1,60.94,0
32.02,3,2,3,1,78.66,1
11.36,3,2,1,2,31.25,0
49.06,5,6,8,5,71.41,1
19.85,3,2,4,1,60.64,1
10.8,1,2,3,4,73.41,1
5.48,5,2,4,3,42.34,0
9.22,3,6,3,3,55.71,1
22.72,7,4,2,2,29.4,1
5.11,9,3,0,3,30.24,1
47.41,5,1,1,1,48.56,1
16.56,5,3,4,4,65.19,1
29.13,5,2,6,3,61.26,1
14.97,2,5,3,1,43.22,0
29.53,4,3,3,5,64.52,1
15.89,2,1,3,4,43.63,1
7.25,6,1,2,1,68.77,1
35.87,2,8,4,4,59.86,0
12.22,2,4,4,2,33.97,0
13.85,1,1,5,3,34.09,0
27.55,5,2,3,4,28.93,0
18.11,3,3,2,4,62.98,0
30.38,8,5,1,4,36.66,0
32.02,4,5,2,5,31.28,0
26.9,0,0,1,3,32.19,0
17.67,2,3,1,1,11.51,0
38.76,5,7,2,2,71.49,1
33.13,6,3,4,5,70.9,0
4.74,2,1,4,1,36.76,0
13.88,0,4,3,3,69.41,1
12.74,3,4,2,2,21.33,0
20.52,1,3,1,2,40.55,0
20.82,5,2,2,1,63.53,1
9.2,5,2,3,5,60.79,1
41.32,1,5,3,1,58.92,0
10.76,3,2,3,3,51.66,1
19.1,0,2,5,4,75.75,0
12.66,3,3,2,1,53.55,1
96.89,5,3,4,2,57.5,1
60.52,2,0,7,2,38.77,1
10.85,3,3,5,4,48.83,1
20.13,1,5,4,2,75.06,0
9.18,6,6,2,1,29.32,1
28.6,4,4,5,1,63.0,1
37.86,6,1,2,1,55.19,0
20.55,4,1,3,3,55.44,1
15.95,3,2,4,3,46.85,1
70.27,5,5,4,1,33.81,0
12.21,2,2,1,1,73.58,0
101.57,2,4,5,3,40.44,0
23.61,7,4,2,1,39.34,0
20.78,5,2,3,2,20.79,1
13.37,4,2,4,4,46.41,1
37.67,4,1,1,3,34.57,1
31.25,2,2,6,1,47.97,0
24.16,6,3,1,3,22.72,0
39.61,1,0,3,4,28.89,0
69.0,1,3,2,2,44.73,1
22.73,2,2,2,5,59.07,1
7.41,5,4,5,4,51.62,0
12.85,5,2,3,4,34.37,0
22.09,4,1,3,1,55.47,1
39.56,1,3,7,1,35.2,0
22.66,3,2,4,5,67.12,1
89.13,1,4,7,4,49.28,1
29.76,3,0,4,5,45.16,1
7.73,4,4,5,4,34.24,1
40.84,2,5,4,3,74.29,0
23.59,8,1,2,1,35.51,1
23.21,2,2,7,4,69.87,1
27.2,4,2,4,3,69.19,1
45.69,1,2,4,2,67.48,0
6.31,2,0,5,4,54.9,1
16.74,5,3,3,2,76.42,1
10.0,1,4,1,1,35.1,0
21.11,2,4,3,2,18.9,0
44.93,3,3,1,3,55.83,0
5.8,6,4,1,4,13.52,0
48.3,3,4,1,4,63.8,0
27.99,2,6,6,2,68.37,0
19.36,5,4,1,2,78.55,0
18.43,3,4,8,3,26.17,1
20.15,2,1,5,4,53.06,1
7.16,3,4,3,5,50.62,0
44.34,1,3,5,3,48.64,1
24.18,2,3,5,3,42.39,1
48.53,4,3,3,4,47.28,0
16.03,0,0,2,3,35.85,1
17.51,2,1,3,1,72.52,1
33.49,2,4,2,4,35.06,0
36.14,1,2,6,1,27.94,0
18.98,3,3,3,3,51.63,0
12.04,4,1,0,3,66.96,0
31.09,1,3,4,3,64.64,1
44.83,1,7,1,4,80.19,0
46.76,3,4,3,1,62.36,1
24.45,2,7,6,3,32.75,0
14.77,0,6,0,3,55.38,0
37.0,2,2,1,3,39.1,0
11.52,2,4,3,1,31.34,1
51.22,1,2,3,4,42.39,0
21.2,5,1,3,1,24.34,1
24.93,3,1,4,3,70.94,1
43.77,3,3,5,1,40.07,0
19.57,7,6,4,1,37.6,1
13.75,5,1,2,4,66.49,1
65.53,2,2,1,5,26.93,0
18.74,2,2,2,3,55.16,1
11.56,6,2,5,5,40.48,1
7.71,8,4,2,5,38.86,1
31.82,4,2,3,3,20.76,1
47.2,4,1,2,3,87.08,1
24.72,1,2,1,5,47.86,0
4.86,2,6,5,1,53.43,1
18.59,3,2,5,4,18.42,1
53.24,1,2,4,3,58.61,0
28.54,3,5,0,4,63.87,0
7.54,2,1,2,1,37.5,0
15.93,2,3,6,1,55.68,1
36.28,1,5,4,5,47.13,0
17.1,3,2,6,5,56.99,1
31.35,4,1,6,4,66.59,1
31.78,4,1,3,2,55.73,1
12.69,6,1,1,3,27.85,1
19.57,3,4,2,1,0.0,0
15.48,3,0,1,2,51.12,1
16.67,2,6,2,5,58.23,0
14.39,3,3,3,1,74.83,1
31.63,5,2,2,4,54.86,1
10.64,5,6,3,5,34.67,0
33.06,2,2,5,5,36.82,0
7.33,4,2,2,2,36.47,1
11.9,3,2,8,1,73.72,1
25.43,4,5,3,1,64.27,1
66.59,4,0,3,4,84.83,1
19.59,4,1,4,5,37.1,1
14.7,3,1,1,3,37.97,0
25.22,3,5,1,3,34.57,1
101.82,2,1,6,1,21.34,1
30.29,0,2,1,4,57.07,0
12.65,3,4,3,4,33.17,0
29.83,5,6,2,4,52.1,0
20.14,7,7,2,3,83.65,1
21.06,4,4,2,1,55.89,1
6.46,6,3,3,3,86.72,1
27.75,4,1,4,5,70.46,1
79.96,2,1,4,5,61.49,0
22.16,3,4,1,4,18.21,0
14.7,2,3,1,3,60.59,0
18.46,2,5,4,1,80.11,1
54.74,0,4,2,4,81.18,0
21.96,1,3,2,1,28.0,1
59.96,3,4,4,1,34.94,1
5.96,2,6,1,2,35.69,0
7.47,3,0,5,4,33.3,0
21.39,3,1,5,3,44.63,1
24.72,3,6,2,1,50.83,1
51.91,3,1,4,1,42.58,1
29.86,4,4,2,5,51.21,1
52.97,3,2,1,5,29.1,0
31.42,2,4,5,2,45.69,0
11.08,1,2,3,4,2.89,0
8.99,6,4,2,3,52.57,1
31.64,2,4,5,3,82.12,1
43.52,1,5,6,1,7.15,1
10.97,4,3,6,4,49.56,1
